User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,,2021-02-21T18:17:09Z,signin.amazonaws.com,ConsoleLogin,us-east-1,140.118.110.164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,818d2241-7215-4f1a-9821-d42e1fcf4062,false,AwsConsoleSignIn,666595451426,Management
Accountant,ASIAZWNBPMIRBWVYO7UI,2021-02-21T18:16:10Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],e457aa2c-bddd-409e-9d29-b52db81ce57b,0321cd35-7ea4-454c-b84a-6f0d45ee6c9a,false,AwsApiCall,666595451426,Management
Accountant,,2021-02-21T18:15:49Z,signin.amazonaws.com,ConsoleLogin,us-east-1,140.118.110.164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,9318a823-d306-4476-945c-f34ddfbbc6e7,false,AwsConsoleSignIn,666595451426,Management
CloudTrail,ASIAZWNBPMIRBXQRHUJ7,2021-02-21T18:14:06Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,140.118.110.164,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-666595451426-50687e51""}]",AV8TAG3N3VAP6V5W,018c55e2-bf4b-4652-b14b-c65c3759ce8c,false,AwsApiCall,666595451426,Management
CloudTrail,ASIAZWNBPMIRBXQRHUJ7,2021-02-21T18:14:06Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,140.118.110.164,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-666595451426-50687e51""}]",A9D69FFE3BF828E2,134f987a-3ce0-4268-bd89-77cdc34a15b9,false,AwsApiCall,666595451426,Management
CloudTrail,ASIAZWNBPMIRBXQRHUJ7,2021-02-21T18:14:06Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,140.118.110.164,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:666595451426:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-666595451426-50687e51""}]",470a1eba-621f-4077-838a-ec499e572ebb,52c1430a-624c-4638-85b8-d713918daaed,false,AwsApiCall,666595451426,Management
CloudTrail,ASIAZWNBPMIRBXQRHUJ7,2021-02-21T18:14:06Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,140.118.110.164,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",7a0c7334-659c-40a5-b647-65e0f27651ee,f58a64c9-d445-4059-8c5b-6bd63c7d086e,false,AwsApiCall,666595451426,Management
CloudTrail,ASIAZWNBPMIRBXQRHUJ7,2021-02-21T18:14:05Z,s3.amazonaws.com,CreateBucket,us-east-1,140.118.110.164,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-666595451426-50687e51""}]",0E1CDDF48FB3EF6D,838ecf68-ecd7-47c1-834f-71f151e4be32,false,AwsApiCall,666595451426,Management
CloudTrail,,2021-02-21T18:13:17Z,signin.amazonaws.com,ConsoleLogin,us-east-1,140.118.110.164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,701e2705-a18f-4fef-9f58-a31b116dc996,false,AwsConsoleSignIn,666595451426,Management
Tyler,ASIAZWNBPMIRMTJ6ZA5P,2021-02-21T18:13:00Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,140.118.110.164,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",c9ab5cee-30bd-4637-bfd6-f8bebbb918c3,b9de41ab-1a2e-4013-91ca-ffe757f1add0,false,AwsApiCall,666595451426,Management
